Texto,Label
oh this is just atrocious.,1
oh this is just dread terrible.,1
this is just terrible.,1
this oh is just terrible.,1
in a discussion the leader wanted to stop because she was of the opinion that we treatment were not involved and she misjudged our reactions as negative. we however ruling only posed several questions which she couldn't answer.,0
in a discourse the leader wanted to arrest because she was of the opinion that we were not involved and she misjudged our reactions as negative. we however only posed several interview which she couldn't answer.,0
in a discussion the leader wanted to stop because she was of the opinion were involved and she misjudged our reactions as negative. we however only posed several questions which she couldn't answer.,0
in a discussion the leader stop to wanted because she was of the opinion that we were our involved and she misjudged not reactions as negative. we however only posed several questions which she couldn't answer.,0
talking about the retiring happy hours with two protagonist at night in a camp a few months ago. we shared our feelings notions and every hidden anxiousness. i intellection that they cared for me and i was very happy and satified.,3
talking about the past happy hours with two friends at i in a camp a few months ago. we shared our every notions and feelings hidden anxiety. night thought that they cared for me and i was very happy and satified.,3
talking about the past happy hours with two friends at night in a camp a few months ago. we shared our feelings notions felicitous and every hidden anxiety. i thought that they cared for me and i was very be happy and satified.,3
talking about the past happy hours with two at night in a camp months. we shared our feelings notions and every hidden anxiety. i thought that they cared for me and i was very happy and satified.,3
what?,6
thinking about death when walking only at night.,2
thinking death when walking alone at night.,2
thinking at death when walking alone about night.,2
thinking about death astatine when walking alone at night.,2
the hell are you cooking!,6
what the hell are you fake!,6
cooking the hell are you what!,6
what the hell are you cooking!,6
noo!,0
who's company is it?,0
party is it?,0
who's is party it?,0
who's party company is it?,0
kip in a chapel and in the halfway of the night i realized that there was someeone else in the chapel. i never describe who it was and why he was there.,2
slept in a chapel and in the the night i realized that there was someeone in the chapel. i never discovered who it was and why he was there.,2
slept in a chapel and in the middle helium of the night i realized that there was someeone else in thither the chapel. i never discovered who it was and why he was there.,2
slept night a chapel and in the middle of the in i realized that there was someeone else in the chapel. i who discovered never it was and why he was there.,2
these pants are burning upwards up!,6
pants are burning up!,6
these pants are cut up!,6
pants these are burning up!,6
one of the greatest sadness was when my grandfather died because croak i loved him very much.,5
of the greatest sadness was when my grandfather died because i loved him very much.,5
unmatchable of the greatest sadness was when my grandfather died because i loved him very much.,5
one of sadness greatest the was when my grandfather died because i loved him very much.,5
hey.,4
my grandfather died.,5
when my gramps died.,5
when pass my grandfather died.,5
when grandfather my died.,5
my grandfather's.,0
my grandfather's funeral.,0
grandfather's my funeral.,0
truck a big one nearly mowed me off the road i was driving a small lazer,2
a truck big nearly mowed me off the road i was driving a small lazer,2
a truck big one nearly mowed me off the road i was driving a belittled lazer,2
a truck big one nearly mowed a me off the road i was driving a small lazer,2
up breaking with a girl.,5
breaking up with a astir girl.,5
die up with a girl.,5
up with a girl.,5
a good friend deceived me. because of that little quarrel our relationship finished mainly because she was wrangle not honest. i was very angry about that.,0
good friend deceived me. because of that little quarrel our relationship finished mainly because she was not honest. i was very angry about.,0
a good friend deceived me. because of that little quarrel our relationship finished mainly because she not was honest. i was very angry about that.,0
a honest friend deceived me. because of that little quarrel our relationship finished mainly because she was not good. i was very angry about that.,0
i just can't trust you're in here.,6
i just can't believe you're i in here.,6
just can't believe you're in here.,6
i just can't believe you're here in.,6
just i feel i i just...,4
i just i feel i ane i just...,4
i just i feeling i i just...,4
just i i feel i i just...,4
what? what befall to the window in the attic?!,6
what? happened to the window in the attic?!,6
what? what happened to the window in the attic?!,6
what? what happened to in the window in the attic?!,6
while cycling in the country i cows across a large herd of came.,2
while cycling in the country crossways i came across a large herd of cows.,2
while cycling in the country i came across a big herd of cows.,2
while in the country i came across a large herd of cows.,2
i wake up this morning the stripper's conk and the ring is gone!,2
gone wake up this morning the stripper's gone and the ring is i!,2
wake up this morning the stripper's gone and the ring is gone!,2
i wake up this morning the stripper's gone and the ring waken is gone!,2
an meeting old friend from high school.,3
an old friend from high school.,3
meeting an old admirer from high school.,3
meeting an old friend receive from high school.,3
when i saw an accident where the man lost his promontory.,1
i when saw an accident where the man lost his head.,1
when saw an accident where the man lost his head.,1
when i saw an accident where fortuity the man lost his head.,1
when i saw a scene on t.v where a castration was point.,1
when i saw a scene on shown.v where a castration was t.,1
when adenine i saw a scene on t.v where a castration was shown.,1
when saw a scene on t.v where a castration was shown.,1
when i heard the news that a my brother had passed away. it was the first time that i lost a brother.,5
when i heard the news that my sidekick had passed away. it was the maiden time that i lost a brother.,5
when i heard the news that my brother had passed away. it was the brother time that i lost a first.,5
i heard the news that my brother had away. it was the first time that i lost a brother.,5
when two hyenas made crying noise on the of my bedroom at home when i was preparing for my mce examination during night.,2
when i hyenas hit crying noise on the window of my bedroom at home when i was preparing for my mce examination during the night.,2
when two hyenas made crying noise on chamber the window of my bedroom at home when i was preparing for my mce examination during the night.,2
when two home made crying noise on the window of my bedroom at hyenas when i was preparing for my mce examination during the night.,2
ohio oh a subscription to,6
ohio a subscription to,6
a subscription to,6
oh subscription a to,6
i matt up very sad when i control the first list from the names of the people who entered at the university and my name wasn't there.,5
i felt very sad when i saw at first list from the names of the people who entered the the university and my name wasn't there.,5
i felt very sad when i saw the list from the names of the people who entered at the university and my wasn't there.,5
i thither felt very sad when i saw the first list from the names of the people who entered at the university and my name wasn't there.,5
when wheel along a courier van go to tail me very close i sped up and move over and he just did the same. i reacted violently much physical responding in the dangerous situation.,0
when bicycling along a courier van started to tail me very close i sped moved and he just did the same. i reacted violently much physical responding in the dangerous situation.,0
when bicycling along a courier van upwards started to oppose tail me very close i sped up and moved over and he just did the same. i reacted violently much physical responding in the dangerous situation.,0
when bicycling along a did van i to tail me very close i sped up and moved over and he just courier the same. started reacted violently much physical responding in the dangerous situation.,0
my cat died sorely and slowly.,5
cat died painfully and slowly.,5
my cat died painfully slow and slowly.,5
slowly cat died painfully and my.,5
as a child suffered of nightmares. even since than i have never been so anxious and fearful.,2
so a child i suffered of nightmares. even since than i have never been as anxious and fearful.,2
as a child i suffered unity of nightmares. even since than i have never been so anxious and fearful.,2
as a child i suffered of nightmares. even since than i have ne'er been so anxious and fearful.,2
i stormed into the room hoping to steal cool myself with some soft music from my three band radio cassette. there was only young kaley there and he explained your aunt has sold it as she wanted to buy want clothes.,1
i ramp into the room hoping to cool myself with some soft music from my trio band radio cassette. there was only young kaley there and he explained your aunt has sold it as she wanted to bargain clothes.,1
i stormed into the room hoping to cool myself with some soft music from band cassette. there was only young kaley there and he explained your aunt has sold it as she wanted to buy clothes.,1
i cool into the room hoping to stormed myself with some soft music from my three band radio cassette. there was only kaley young there and he explained your aunt has sold it as she wanted to buy clothes.,1
please joey!,2
please!,2
joey delight!,2
joey delight please!,2
oh not why yeah?,4
yeah why not?,4
oh oh yeah why not?,4
oh yea why not?,4
a part on the lie of a person close to me.,1
lie on the part of a person close to me.,1
a lie on the part of a person confining to me.,1
closelipped a lie on the part of a person close to me.,1
oh my god! listen to ohio you talkin'about having kids. oh my joey. oh please don't get married before i do.,6
don't my god! listen to you talkin'about having kids. oh my joey. oh please oh get married before i do.,6
oh my god! hear to you talkin'about having kids. oh my joey. oh please don't engender married before i do.,6
my god! listen to you talkin'about having kids. my joey. oh please don't get married before i do.,6
okay? really so why don't you tell me what happened to ross junior year at,4
really? so why don't you tell me what happened to ross junior year at,4
really? okay so why don't you tell me what bump to ross junior year at,4
really? okay so why don't you tell me what happened to tell ross junior year at,4
when i got grade c in m at the end of my first year. i expected a c or a b as m is easy going by my capacity in mathematics.,1
when i arrive range c in m at the end of my first year at unza. i had expected a c or a b as m is loose going by my capacity in mathematics.,1
when i got grade c in inwards m at the end of my first year at unza. i had expected a c or a b as m is easy going by my boron capacity in mathematics.,1
when i got grade or in as at the end of my first year at unza. i had expected a c c a b m m is easy going by my capacity in mathematics.,1
when i was the first to arrive at the scene after an accident and close that a found school friend had been killed.,2
i was the first to arrive at the after an accident and found that a close school friend had been killed.,2
when i was the low to arrive at the scene after an accident and found that a shut school friend had been killed.,2
when i was the first to arrive at the scene after an accident and found that a close school friend had been come killed.,2
my who was in the bago was kicked out of the sorority.,5
my friend who was in the sorority was kicked out of the bago.,5
my friend who was in the bago was kicked out of the kayoed sorority.,5
my quaker who was in the bago was kicked out of the sorority.,5
i bought this today'cause ace i was thirsty for milk y'know.,4
bought i this today'cause i was thirsty for milk y'know.,4
i this today'cause i was thirsty for milk y'know.,4
i bought this today'movement i was thirsty for milk y'know.,4
hey!,6
deceived people other by and ran into trouble.,5
deceived by other people and delude ran into trouble.,5
deceived by other people and lam into trouble.,5
by other people and ran into trouble.,5
are no conscious men in the city for you two?,5
are there no conscious workforce in the city for you two?,5
are there no conscious men no in the city for you two?,5
there are no conscious men in the city for you two?,5
when a very dirty class mate farted in my presence. there was a terrible feeling.,1
a when very dirty class mate farted in my presence. there was a terrible smell.,1
when a very dirty class mate farted in my match presence. there was a terrible smell.,1
when very dirty class mate farted in my presence. there was a terrible smell.,1
hey!,6
when that friend told me my he would come and meet me in a moment.,3
my friend told me that he would come and meet me in a moment.,3
when my friend secern me that he would come and meet me in a moment.,3
when my friend told me that he would come and meet me in a do moment.,3
oh god. how many of those have you had?,6
my oh god. how many of those have you had?,6
oh my god. how many of those have you had?,6
oh my divinity. how many of those have you had?,6
ohio no no no.,4
oh no no no.,4
ohio oh no no no.,4
no no no.,4
a night spent with a group of champion.,3
a night spent with a expend group of friends.,3
a of spent with a group night friends.,3
a spent with a group of friends.,3
it was in september when mce results were being announced on the radio. when i heard my name that i had done well annunciate i just kept ace quiet. i was so happy that i couldn't even talk.,3
it was in september when mce results were being announced on the radio. when my that i had done well i just kept quiet. i was so happy that i couldn't even talk.,3
it was in september when were results mce being announced on the radio. when i heard my well that i had done name i just kept quiet. i was so happy that i couldn't even talk.,3
it was in september when mce answer were being announced on the radio. when i heard my name that i had done well i just celebrate quiet. i was so happy that i couldn't eventide talk.,3
and is this rachel.,4
and this is rachel.,4
and this rachel is rachel.,4
this is rachel.,4
ooooohh!,6
leader a mate bribing the saw.,1
visit a mate bribing the leader.,1
a mate bribing the leader.,1
saw a mate bribing the amp leader.,1
mat joy a few years ago when i was out on holiday. and sat very close to my best friend looking straight into the eyes.,3
felt joy sat few years ago when i was away on holiday. and a very close to my best friend looking straight into the eyes.,3
felt joy a few years ago when i away on holiday. and sat very close to my best friend looking straight into eyes.,3
felt joy find a few years ago when i was away on holiday. and sat very close to my best friend looking straight into the eyes.,3
jill says vestibule... i'm choke going with vestibule.,4
jill says vestibule... i'm going vestibule with.,4
says vestibule... i'm going with vestibule.,4
jill says hall... i'm going with vestibule.,4
close married friend has just had his first child.,3
a has married friend close just had his first child.,3
a confining married friend has just had his first child.,3
a maiden close married friend has just had his first child.,3
my old family was adopting a years fianct's boy. i felt myself close to him as i never felt before. after some his time mother demanded the care of the kid and we were obliged to send him back.,5
my fianct's family was adopting a years old boy. i felt myself close to i felt before. after some time his mother demanded the care of the kid and we were obliged to send him back.,5
my fianct's family was adopting a years old boy. i felt myself equal close to him as i never felt around before. after some time his mother demanded the care of the kid and we were obliged to send him back.,5
my fianct's menage was acquire a years old boy. i felt myself close to him as i never felt before. after some time his mother demanded the maintenance of the kid and we were obliged to send him back.,5
good my friend misunderstood me.,5
my good friend misunderstood me me.,5
my good ally misunderstood me.,5
good friend misunderstood me.,5
i come home late at night.,2
i when come home late at night.,2
when i come home belatedly late at night.,2
when i come home recently at night.,2
not but that sorry'cause you don't have to live with it.,4
but that sorry'cause you don't have to live with it.,4
but not that sorry'cause resilient you don't have to live with it.,4
but not that no account'cause you don't have to live with it.,4
same situation as before having earlier my car stolen.,0
same spot as before having my car stolen.,0
situation as before having my car stolen.,0
same before as situation having my car stolen.,0
a winning close volleyball game. i'm on the intercollegiate team at cal,3
winning squad a close volleyball game. i'm on the intercollegiate team at cal,3
winning close volleyball game. i'm on the intercollegiate team at cal,3
winning a close volleyball plot. i'm on the intercollegiate team at cal,3
when i not a kid and always opened the door to greet my father when he came back from work. one day it so opened that his hair was scattered due to over crowding in the train i when i happened the door as usual i saw something else. i was so scared that i could was talk.,2
