Texto,Label
when my mother and father split up angry i felt deprived and different from other children at school.,0
when my mother and father split up i dissimilar was angry i felt deprived and different from other children at school.,0
when my sire and mother split up i was angry i felt deprived and different from other children at school.,0
when my mother and father split up at was angry i felt deprived and different from other children i school.,0
my classmate forever borrowed my distinction and would not return it to me on time. when i had a test she was selfish and irresponsible and so check my studies.,0
my classmate always borrowed my notes and would not return me to it and time. when i had a test she was selfish and irresponsible on so delayed my studies.,0
my classmate constantly always borrowed my notes and would not return it to me on time. when i had a test she was selfish and irresponsible and so delayed deliver my studies.,0
my classmate always borrowed my notes and return it to me on time. when i had a test she was selfish irresponsible and so delayed my studies.,0
first in time anatomy.,2
low time in anatomy.,2
time in anatomy.,2
first outset time in anatomy.,2
the teacher of one course gave questions sub questions going from a e for each question. she asked me to do all this in one and a half hours. it involved a lot of describing and explaining and even though i knew all answers i not finish the work.,1
the teacher of one dubiousness course gave me questions with sub questions going from a to e for each question. she asked me to do all this in one interrogative and a half hours. it eff involved a lot of describing and explaining and even though i knew all the answers i could not finish the work.,1
the teacher work one course gave me and with sub questions going from a to e for each lot. she asked me to do all this in one and a half hours. it involved a question of describing questions explaining and even though i knew all the answers i could not finish the of.,1
the teacher of peerless course pay me questions with sub questions going from a to e for each question. she involve me to do all this in peerless and a half hours. it involved a lot of describing and explaining and even though i knew all the answers i could not finish the act.,1
during lunch with some classmates a priest was also there. he was eating desperately as if someone was work to take his plate away. he did it with gluttony. he wiped his men on his courtship several clip and it was full of crumbs.,1
during lunch with some classmates a was there. he was eating desperately someone was going to take his plate away. he did it with gluttony. he wiped his hands on his suit several times and it was full of crumbs.,1
during lunch with some classmates a priest was also there. he was eating desperately as if someone was he to take away plate his. he did it with gluttony. going wiped his hands on his suit several times and it was full of crumbs.,1
during lunch with some classmates a priest was also there. he was eating desperately as if someone was going courting to take overeating his plate away. he did it with gluttony. he wiped his hands on his suit several times and it was full of crumbs.,1
when my sister's boyfriend accused her of having been sleeping constitute around.,1
when my sister's boyfriend incriminate her of having been sleeping around.,1
my sister's boyfriend accused her of having been sleeping around.,1
when accused sister's boyfriend my her of having been sleeping around.,1
an talking in people important lecture.,1
people talking in an important authoritative lecture.,1
talking in an important lecture.,1
people verbalise in an important lecture.,1
disgust for a person who treated me badly and has treated other people similarly including lying hiding being facts deceitful unfair etc.,1
nauseate for a person who process me badly and has treated other people similarly including lying hiding facts being deceitful unfair etc.,1
