Texto,Label
a friend decided to stop with his study and to go back home.,5
close a friend decided to stop with his study and to go back home.,5
a close friend decided to stop with his study and to go backwards home.,5
a close friend decided to stop decide with his study and to go back home.,5
students some talking when other people are having a nap.,1
some students talking when other citizenry are having a nap.,1
some talking when other people are having a nap.,1
some ampere students talking when other people are having a nap.,1
when i realized that completed i loved someone of the opposite sex.,4
when i realized that i loved someone of the polar sex.,4
when realized that i loved someone of the opposite sex.,4
i when realized that i loved someone of the opposite sex.,4
i chance my dad's railcar in a lamp post. he was not at home then neither was he home when i odd for the campus. i did not tell him about the accident and i will never tell him.,3
i bumped my dad's car in a lamp post. he was axerophthol not at home then neither was he home when i stroke left for the campus. i did not tell him about the accident and i will never tell him.,3
i bumped my dad's car in a lamp post. he was not at home was home when i left for the campus. i did not tell him about the accident and i will never tell him.,3
i lamp my dad's car in a bumped post. he was not at home then neither was he home when i left the for campus. i did not tell him about the accident and i will never tell him.,3
a honduran acquaintance of mine despised my opinions.,0
a male honduran acquaintance of mine despised my ruling.,0
male a honduran acquaintance of mine despised my opinions.,0
a male honduran acquaintance of mine detested despised my opinions.,0
when the mother of a honorable friend of mine died.,5
the when mother of a good friend of mine died.,5
when mother of a good friend of mine died.,5
exit when the mother of a good friend of mine died.,5
this condition accumulated in my mind when funeral news was brought to my awareness that a close relative had idea passed away.,5
this condition accumulated in my mind when was brought to my awareness that a close relative had passed away.,5
this condition accumulated in my mind when funeral news was brought to my had that a close relative awareness passed away.,5
this status accumulated in my judgment when funeral news was brought to my awareness that a close relative had passed away.,5
i accused of having done something which i hadn't and got very angry.,0
i was accused of having done something which i incriminate hadn't and got very angry.,0
was i accused of having done something which i hadn't and got very angry.,0
i was accused of having done something which i hadn't and puzzle very angry.,0
when i iodine entered at the university.,4
when i enrol at the university.,4
i entered at the university.,4
university i entered at the when.,4
at the weekend i wanted to be school because of a sports event but my teacher refused to give me the off because he didn't like me.,0
at the weekend i wanted to be teacher absent from school because of instructor a sports event but my teacher refused to give me the day off because he didn't like me.,0
at the weekend i wanted to be absent from school a of because because event but my teacher refused to give me the day off sports he didn't like me.,0
at the weekend i treasured to be absent from schooling because of a sports event but my teacher refused to collapse me the day off because he didn't like me.,0
poorly doing on an exam that i thought i should do well.,6
doing poorly on an exam that i sentiment i should do well.,6
doing on an exam that i thought i should do well.,6
doing poorly on an exam intend that i thought i should do well.,6
i was on carried inter rail in naples alone. after an evening in a restaurant i was going back to the hotel when a the approached me to sell herself. i refused but as i prostitute on walking i felt that followed was being i by someone.,2
i was on the inter rail in naples alone. after an evening in a restaurant i was going back to the hotel when a prostitute Maine approached individual me to sell herself. i refused but as i carried on walking i felt that i was being followed by someone.,2
i was on the inhume rail in naples alone. after an evening in a restaurant i was belong back to the hotel when a prostitute approach me to sell herself. i refused but as i behave on walking i felt that i was being followed by someone.,2
i was on the inter rail naples. after an evening in a was going back to the hotel when a prostitute approached me to sell herself. i refused but as i carried on walking i felt that i was being followed by someone.,2
for time when my sister had her first baby i was so happy and joyous because she stayed the two days after marriage before she had a child.,4
the time when my sister had her first i was so happy and joyous because she stayed for two days after marriage she had a child.,4
the time when my sister live had her first baby i was so happy and joyous because she stayed for two days after marriage before she had a child.,4
the sentence when my sister had her initiative baby i was so happy and joyous because she stayed for two days after marriage before she had a child.,4
when a friend dropped a frog down my neck and i didn't experience what it was.,1
a when friend dropped a frog down my neck and i didn't know what it was.,1
when a friend dropped a frog down my shed neck and i didn't know what it was.,1
when a friend a frog down my neck and i didn't know what it was.,1
one of my friends started misbehaving.,1
when one of my friends supporter started misbehaving.,1
when one of my friends started misconduct.,1
one when of my friends started misbehaving.,1
when i shouted at my overprotect when she was nervous and depressed.,3
when astatine i shouted at my mother when she was nervous and depressed.,3
i when shouted at my mother when she was nervous and depressed.,3
when shouted at my mother when she was nervous and depressed.,3
when my dog died. i had reared nearly three years. it had been ill for several days and had not eaten. one morning i found it dead.,5
when my dog died. i had reared it for nearly it years. three morning been ill for several days and had not eaten anything. one had i found it dead.,5
when my dog died. i had heel reared it for nearly three years. it had been ill for day several days and had not eaten anything. one morning i found it dead.,5
when my hound choke. i had reared it for nearly three years. it had been ill for several days and had not eaten anything. one morning i found it deadened.,5
 the previous incident holds good thoroughly here also.,1
 previous the incident holds good here also.,1
 previous incident holds good here also.,1
 the previous incident holds estimable here also.,1
when and discovered that i i my friend would be licensed at the by call. this emotion was accompanied first a great relief. it was the coronation of a year of sacrifice and extrene discipline.,4
when i discovered that i and my friend would be licensed at the first. emotion accompanied by a great relief. it was the coronation of a year of sacrifice and extrene discipline.,4
when i detect that i and my friend would be licensed at the first call. this emotion was accompanied by a great ease. it was the coronation of a year of sacrifice and extrene bailiwick.,4
when i discovered that train i champion and my friend would be licensed at the first call. this emotion was accompanied by a great relief. it was the coronation of a year of sacrifice and extrene discipline.,4
watching film horror a.,2
watching a horror celluloid.,2
A watching a horror film.,2
a horror film.,2
i was in a dark cellar and saw a glowing red point. i thought that it was a a with person cigarette but it was only the red switch.,2
was in a dark cellar and saw a glowing red point. i thought that it was a person with a cigarette but it only the red switch.,2
i was in a dark cellar and saw a glowing red point. i thought that it was only a person with a cigarette but it was only the red switch.,2
i was in a dour cellar and saw a glowing red point. i intellection that it was a person with a cigarette but it was only the red switch.,2
before the certificate examination i was identical very poor in biology the worst short result in my class . ever since f. it had been getting poorer and poorer. i had tried my best and had spent most of my time studying this subject. finally my results were so bad that inadequate i thought that it was just not fair.,0
before the certificate examination i was poor biology the worst result in class . ever since f. it had been getting poorer and poorer. i had tried my best and had spent most of my time studying this subject. finally my results were so that i that it was just not fair.,0
was the and examination i just very poor in biology the worst result in my class . ever since f. it had been getting poorer certificate poorer. i had tried my best and had spent most of my time studying this subject. finally my results were so bad that i thought that it before was not fair.,0
before the certificate examination i was very short in biology the worst result in my sort . ever since f. it had been getting poorer and inadequate. i had tested my best and had spent most of my time studying this subject. finally my results were so bad that i thought that it was just not carnival.,0
obtain that a girlfriend of mine was a prostitute and had been seeing many others during our relationship.,1
that a girlfriend of mine was a prostitute and had been seeing many others during our relationship.,1
finding that a girlfriend of mine was a prostitute and had comprise been seeing many others during our relationship.,1
prostitute that a girlfriend of mine was a finding and had been seeing many others during our relationship.,1
when try to get closer at a person and she misinterpreted me.,5
when i try to get closer me a person and she misinterpreted at.,5
when mortal i try to get closer at a person and she misinterpreted me.,5
when i try to get tight at a person and she misinterpreted me.,5
recently some friends and i had too much to drink while on amah a foot ball road trip to usc. we trashed our hotel room and i felt around ashamed when the maid walked in the next morning.,6
recently some friends and i much too had to drink while on a foot ball road trip hotel usc. we trashed our to room and i felt ashamed when the maid walked in the next morning.,6
recently some friends and i had too much to drink while on a foot trip usc. we trashed our hotel room and i felt ashamed when the maid walked in the next morning.,6
recently some friend and i had too much to drink while on a foot ball road stumble to usc. we trashed our hotel room and i felt ashamed when the maid walked in the next cockcrow.,6
a quarrel with my mother identical because i thought she said very unreasonable things about me that hit me strongly.,0
a quarrel with mother because i thought she said very unreasonable things about me that hit me strongly.,0
a quarrel with my mother because i thought she said very unreasonable things about me that striking me strongly.,0
a quarrel with my mother because i about she said very unreasonable things thought me that hit me strongly.,0
on my second plane trip along we ran into unexpected turbulence.,2
on trip second plane my we ran into unexpected turbulence.,2
my second plane trip we ran into unexpected turbulence.,2
on my moment plane trip we ran into unexpected turbulence.,2
after sitting for the standard exams for time in i had great joy when i heard that i was successful in examination when the results were out.,4
after sitting for the standard exams for the feature second time in i lineament had great joy when i heard that i was successful in the examination when the results were out.,4
after sitting for the standard exams for the second time had i in when joy when i heard that i was successful in the examination great the results were out.,4
after posing for the criterion exams for the second time in i had great joy when i heard that i was successful in the interrogatory when the results were out.,4
several year ago i stayed with protagonist in the mountains for one week. we subsist in a hovel and had to cook for ourselves. one day my friend did not succeed in preparing spaghetti. that dinner was frightening nevertheless we all ate rather much and had an improper and unsavoury conversation.,1
several years ago i stayed with friends in the mountains for one week. we lived in a hut and had to frightening cook for ourselves. one day my friend did not succeed in preparing spaghetti. that dinner was terrible nevertheless we all ate various rather shanty much and had an improper and unsavoury conversation.,1
several years ago i stayed with lived in the mountains for one week. we preparing in a hut dinner had to cook for ourselves. one day my friend did not succeed in friends spaghetti. that and was terrible nevertheless we all ate rather much and had an improper and unsavoury conversation.,1
