texto,label
also i be the point person on my company's transition from the kl to gr system.,4
you must've have your hand full.,4
that i do. that i do.,4
so let's talk a little bit about your duty.,4
now you'll be head a whole division so you'll have a lot of duty.,4
i see.,4
but there'll be perhaps people under you so you can dump a certain amount on them.,4
good to know.,4
we can go into detail,4
all right then we'll have a definite answer for you on monday but i think i can say with some confidence you'll fit in well here.,4
absolutely. you can relax,4
ok!,4
all right well...,4
yeah sure!,4
hey mon.,4
hey hey hey. you wan na hear something that suck.,4
yeah apparently they're turn it into some kinda coffee place.,4
can i get a beer.,4
hey do you pick a roommate?,4
be it the italian guy?,4
he be with her when he write this poem.,4
look'my vessel so empty with nothing inside.,4
now that i've touch you you seem empty still.',4
do.,4
ah y'know this building be on my paper route so i...,4
oh.,4
hi.,4
hi.,4
how'd do it go?,4
i know.,4
yeah.,4
yeah.,4
ameri can.,4
ameri ccan.,4
ameri can. y'know it's a,4
which part exactly?,4
the whole thing! can we go?,4
hey what about the scene with the kangaroo? do do you like that part?,4
that's for come buddy.,4
i'll see you later.,4
okay look i think we have to tell rachel she mess up her dessert.,4
yes and it be my die wish to have that ring.,4
see if i'm not bury with that ring then my spirit be go to wander the nether world for all eternity,4
okay that's enough honey!,4
i do n't know. let me see the ring.,4
all right.,4
what've you be up to?,4
oh you know the usual teaching aerobics party way too much.,4
oh and in case you be wonder those be my leg on the new james bond poster.,4
i know.,4
i'm back.,4
so be we gon na get together or what?,4
um absolutely. uh how'bout tomorrow afternoon? do you know uh central perk in the village say five ish?,4
great i'll see you then.,4
even though you do do a good bob impression i'm thinkin'when she see you tomorow she's probably gon na realize hey you're not bob.,4
i'm hop that when bob do n't show up she will seek comfort in the open arm of the wry stranger at the next table.,4
no.,4
this be my wedding.,4
fine. you'll you'll watch it on video when we get back.,4
thank you.,4
thank you.,4
hey!,4
nothing!,4
but um i do n't think it's anything serious.,4
uh that's an eighteenth century indian artifact from calcutta.,4
so much more.,4
well well to sum up we're have fun you look young.,4
okay,4
but that's not enough. so so here's a key to my apartment.,4
really.,4
you do n't think this be too fast.,4
ross can i talk to you for a minute?,4
yes please! so what's go on?,4
hey you ok?,4
there be hum... there be another reason that i think it be time to end it with joey.,4
i start to realize that i be have feeling for someone else.,4
ok geller. last day of the conference you know what happen to the keynote speaker.,4
oh professor clerk we're kind of in the middle of a conversation here.,4
yeah can you guy just throw him in the pool later?,4
i mean we're scientist right?,4
oh yeah bob say there might be flood damage.,4
yeah either that or he have a really big cat.,4
if you say big lima bean bubble up. would she understand the difference?,4
rach? what be you do?,4
it's a diaper commercial.,4
hey you wan na get something to eat or uh do you wan na see how long we can throw this ball back and forth? huh?,4
uhh the ball thing.,4
yeah?,4
uhh,4
what?,4
hey.,4
hey!,4
how do it go with erin?,4
y'know?,4
that be so awkward we be really nervous.,4
do n't you sleep together?,4
yeah that really calm me down.,4
okay.,4
i can not sleep in a public place.,4
it's okay y'know you just nod off again.,4
why?,4
oh and deaf.,4
so they're constantly like have to reassure each other that they're have a good time.,4
well if you want you can stay with rachel and me tonight.,4
it's just her water breaking. calm down will you?,4
breathe breathe breathe.,4
i mean be it gina?,4
which one be gina?,4
dark big hair with the airplane earring.,4
no no no that's dina.,4
i do n't know you think see you saturday'was funny.,4
look honey mark be in fashion okay i like have a friend that i can share this stuff with.,4
you guy would never want to go to a lecture with me.,4
yeah hey i i have clothes i even pick them out.,4
i mean for for all you know i could be a fashion..... monger.,4
yeah.,4
unless you wan na practice the foxtrot again? or or the tango?,4
ahh thanks but no. you see i i think i'm ready to dance with girl.,4
okay.,4
yeah.,4
go get em treeger.,4
right. hey ahh you wan na come? marge have a girlfriend.,4
yeah you could dance real good with her she's the same size as me.,4
no i'm good.,4
well unfortunately i do n't get many callback so,4
who know?,4
